symbol,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600111_2018q4,0.8157,5.4171,951909376,0.1008
SHSE.600061_2018q4,0.607,-8.4469,-10837551104,0.14
SHSE.600109_2018q4,0.3011,7.2828,0,0.099
SHSE.600115_2018q4,-5.8088,-0.3981,-1143001088,-0.1227
SHSE.600066_2018q4,4.2925,-6.4399,1280951296,0.47
SHSE.600118_2018q4,1.0192,-10.7204,31828224,0.12
SHSE.600068_2018q4,3.2939,3.4797,-10542385152,0.375
SZSE.000006_2018q4,3.0838,16.1512,166923776,0.2748
SZSE.000012_2018q4,-2.0248,-7.1103,179606784,-0.01
SZSE.000008_2018q4,2.1898,-21.6612,155714048,0.0942
SZSE.000009_2018q4,1.5565,30.0436,-449563648,0.0541
SZSE.000021_2018q4,-1.0355,-4.5522,96684864,0.0607
SZSE.000025_2018q4,3.7639,-2.6076,49828592,0.1718
SZSE.000031_2018q4,-12.8479,1.7262,9110767616,0.27
SZSE.000027_2018q4,-0.5387,0.6939,1389921280,0.0177
SZSE.000028_2018q4,-0.587,2.9451,145309696,0.665
SZSE.000039_2018q4,0.7598,-1.4463,6908351360,0.351
SZSE.000050_2018q4,-3.1217,-10.3966,-414407936,-0.164
SZSE.000060_2018q4,-1.0788,-9.4538,-406990144,0.04
SZSE.000061_2018q4,-0.4356,-5.6582,-252505344,-0.0026
SZSE.000062_2018q4,-0.3718,-14.9656,233384704,0.2309
SZSE.000066_2018q4,10.9239,9.9587,-233408000,0.265
SHSE.600006_2018q4,-0.036,7.6792,486979584,0.07
SZSE.000078_2018q4,-2.8126,-18.3333,-2110040320,-0.0072
SHSE.600008_2018q4,0.5388,13.6816,1250503936,0.0559
SZSE.000090_2018q4,8.0037,49.1068,707692544,0.4224
SHSE.600021_2018q4,10.9589,3.0779,-6310819840,0.8237
SHSE.600022_2018q4,-5.6978,1.7486,-1568090624,-0.0285
SHSE.600017_2018q4,-0.7062,-2.6101,-787441408,0.03
SZSE.000089_2018q4,-0.9049,-1.1924,-254314240,0.0448
SHSE.600026_2018q4,1.668,11.5071,-2270067200,0.0926
SZSE.000156_2018q4,-0.0379,0.543,71075840,0.1132
SHSE.600037_2018q4,-0.2983,1.6954,-12550656,0.1059
SZSE.000158_2018q4,2.1912,-6.4719,170116480,0.086
SHSE.600039_2018q4,3.0634,7.6441,-2997726848,0.1717
SHSE.600053_2018q4,13.6071,-22.8219,204579456,0.2661
SHSE.600060_2018q4,-0.4028,4.3116,-121864192,0.022
SHSE.600056_2018q4,-1.4129,-0.5759,793090560,0.2847
SHSE.600062_2018q4,-2.1724,-4.5834,38532096,0.1194
SHSE.600058_2018q4,-6.6466,2.9723,-523589376,-0.5169
SHSE.600064_2018q4,-0.5832,-42.027,226135872,0.13
SHSE.600120_2018q4,-0.3706,15.8159,-804996000,0.15
SHSE.600073_2018q4,-2.6103,0.1601,32077312,0.008
SHSE.600125_2018q4,-0.758,-7.0801,565745280,0.0761
SZSE.000301_2018q4,-3.1519,-27.8658,-1277380448,0.04
SHSE.600126_2018q4,-1.2726,-1.5846,269123072,0.09
SHSE.600132_2018q4,-9.1246,0.3759,-240120232,0.04
SHSE.600079_2018q4,-30.5309,-6.0659,-313219264,-2.24
SHSE.600141_2018q4,-1.9162,-6.8125,-1676651008,-0.0078
SHSE.600138_2018q4,-2.2971,-4.4877,-485107072,0.0749
SHSE.600143_2018q4,-2.4331,-2.4169,-943532800,0.1006
SHSE.600094_2018q4,3.959,-40.5504,3200460800,0.2
SHSE.600150_2018q4,0.5321,10.0478,-1092877312,0.125
SHSE.600201_2018q4,-3.0977,-8.3228,-224619776,-0.04
SHSE.600098_2018q4,-0.9688,-1.5926,-1094702208,0.0206
SHSE.600155_2018q4,-1.2054,-1.0908,452951040,-0.05
SHSE.600160_2018q4,-0.7538,-6.3784,-37498368,0.178
SHSE.600161_2018q4,-0.6847,-9.6409,183725056,0.12
SHSE.600158_2018q4,1.4479,24.8172,-22970368,0.0468
SHSE.600171_2018q4,0.1867,-8.8398,13201280,0.024
SHSE.600216_2018q4,-4.2531,-9.7937,-304263168,-0.16
SHSE.600166_2018q4,-8.3817,-6.1239,5698161664,-0.286
SHSE.600167_2018q4,6.3485,-18.639,-1900441600,0.3858
SZSE.000400_2018q4,-0.1062,0.5558,-93452800,0.0439
SZSE.000401_2018q4,-5.9896,7.2422,339537408,0.051
SZSE.000402_2018q4,5.9446,32.0383,-4637925376,0.74
SHSE.600195_2018q4,-1.0369,-12.919,-1359682048,-0.0033
SHSE.600260_2018q4,-4.3678,6.986,-536216576,0.085
SZSE.000426_2018q4,-16.7552,-7.8361,88777088,-0.3955
SHSE.600256_2018q4,-0.7358,-41.3784,-310182912,0.1283
SHSE.600307_2018q4,-3.2446,-8.0403,-1830481920,0.0031
SHSE.600312_2018q4,3.1869,36.8909,75832064,0.2093
SHSE.600258_2018q4,-2.7995,0.5495,-130994432,0.0567
SHSE.600259_2018q4,-5.0651,4.2609,-225775232,-0.43
SHSE.600315_2018q4,-1.1497,0.5104,110155648,0.13
SHSE.600316_2018q4,4.6607,18.1932,465477664,0.3149
SHSE.600266_2018q4,1.6609,-13.1856,475168768,0.3282
SHSE.600317_2018q4,2.1118,12.5761,525608448,0.0677
SHSE.600273_2018q4,-0.9487,-4.0154,188001408,0.36
SZSE.000501_2018q4,-0.162,-1.6518,-782797312,0.35
SHSE.600325_2018q4,1.4833,16.071,9092911104,0.31
SHSE.600282_2018q4,-4.9995,-8.1881,-1962846720,0.1303
SHSE.600277_2018q4,-0.8311,-13.503,-3647932600,0.08
SHSE.600329_2018q4,0.3036,2.5604,315923968,0.21
SHSE.600335_2018q4,-3.9445,-21.4067,629309440,0.1029
SHSE.600291_2018q4,-1.2426,-3.5089,0,-0.022
SZSE.000513_2018q4,-1.5716,-1.0373,128816640,0.2
SHSE.600338_2018q4,-3.0018,-5.6179,-576879232,0.1993
SHSE.600339_2018q4,1.0607,-4.9334,230700032,0.0782
SHSE.600350_2018q4,-3.3187,-11.4826,-5630983040,0.045
SHSE.600298_2018q4,-1.4189,-1.367,-64085216,0.2215
SZSE.000519_2018q4,-0.0418,-13.6833,-93931520,0.0605
SHSE.600348_2018q4,0.6918,3.1534,-1144261120,0.24
SHSE.600410_2018q4,-6.1388,0.8104,-468732544,-0.2563
SZSE.000528_2018q4,-1.7372,-3.2096,549709824,-0.0953
SHSE.600409_2018q4,-4.5245,-0.3402,372968192,0.0204
SHSE.600415_2018q4,-6.0803,6.5657,300541056,-0.02
SZSE.000536_2018q4,-44.2652,-13.1458,-4072336640,-1.629
SZSE.000537_2018q4,-5.2967,-24.8805,-1254702080,0.1
SZSE.000488_2018q4,-4.5422,-9.1547,-3373242368,-0.03
SZSE.000543_2018q4,1.5187,-1.9528,-973971968,0.1421
SHSE.600373_2018q4,-0.1513,-13.4564,1093915648,0.3
SHSE.600418_2018q4,-6.3457,-0.3108,-1181403392,-0.45
SZSE.000600_2018q4,0.4794,-8.92,-489026560,0.083
SHSE.600380_2018q4,-3.0927,-1.2792,1074383360,0.0187
SHSE.600426_2018q4,-4.1057,-12.0623,-95032864,0.3
SHSE.600376_2018q4,2.7793,-31.9707,-8903655424,0.516
SZSE.000547_2018q4,1.9488,27.4851,220008704,0.14
SZSE.000553_2018q4,-5.3202,-0.7972,-521936896,-0.0572
SHSE.600428_2018q4,-0.888,5.379,-1425325824,-0.02
SHSE.600435_2018q4,2.0912,31.9282,79450496,0.027
SZSE.000563_2018q4,0.0288,8.0081,0,0.0206
