id,label,roe_change,tagrt_change,workcap_change,eps_change
SHSE.600276_201911,0,-0.0283,6.8166,1367605248,0.2972
SHSE.600276_201912,0,-0.0283,6.8166,1367605248,0.2972
SHSE.600276_202001,0,0.7181,-2.3042,889241600,0.36
SHSE.600276_202002,0,0.7181,-2.3042,889241600,0.36
SHSE.600276_202003,0,0.7181,-2.3042,889241600,0.36
SHSE.600332_201901,0,-5.646,14.4422,-431872000,0.001
SHSE.600332_201902,0,-5.646,14.4422,-431872000,0.001
SHSE.600332_201903,0,-5.646,14.4422,-431872000,0.001
SHSE.600332_201904,0,8.1641,59.7701,1218275328,-1.251
SHSE.600332_201905,0,8.1641,59.7701,1218275328,-1.251
SHSE.600332_201906,0,8.1641,59.7701,1218275328,-1.251
SHSE.600332_201907,0,-2.603,-36.6545,-1201184768,0.702
SHSE.600332_201908,0,-2.603,-36.6545,-1201184768,0.702
SHSE.600332_201909,0,-2.603,-36.6545,-1201184768,0.702
SHSE.600332_201910,0,-4.1524,-57.1003,502583296,0.376
SHSE.600332_201911,0,-4.1524,-57.1003,502583296,0.376
SHSE.600332_201912,0,-4.1524,-57.1003,502583296,0.376
SHSE.600332_202001,0,-4.1524,-57.1003,502583296,0.376
SHSE.600332_202002,0,-4.1524,-57.1003,502583296,0.376
SHSE.600332_202003,0,-4.1524,-57.1003,502583296,0.376
SHSE.603799_201902,0,-13.8078,-14.2076,-403503104,-0.46
SHSE.603799_201903,0,-13.8078,-14.2076,-403503104,-0.46
SHSE.603799_201904,0,-21.777,-21.4195,-737553664,-1.825
SHSE.603799_201905,0,-21.777,-21.4195,-737553664,-1.825
SHSE.603799_201906,0,-21.777,-21.4195,-737553664,-1.825
SHSE.603799_201907,0,0.2119,5.9331,-1359472848,0.015
SHSE.603799_201908,0,0.2119,5.9331,-1359472848,0.015
SHSE.603799_201909,0,0.2119,5.9331,-1359472848,0.015
SHSE.603799_201910,0,0.7468,4.9898,-883656944,0.06
SHSE.603799_201911,0,0.7468,4.9898,-883656944,0.06
SHSE.603799_202001,0,-0.0544,-8.7398,-782661696,0.02
SHSE.603799_202002,0,-0.0544,-8.7398,-782661696,0.02
SHSE.603799_202003,0,-0.0544,-8.7398,-782661696,0.02
SHSE.600340_201901,0,2.1433,-5.6184,2367160320,1.25
SHSE.600340_201902,0,2.1433,-5.6184,2367160320,1.25
SHSE.600340_201903,0,2.1433,-5.6184,2367160320,1.25
SHSE.600340_201904,0,-4.404,-32.0048,2857517056,-2.82
SHSE.600340_201905,0,-4.404,-32.0048,2857517056,-2.82
SHSE.600340_201906,0,-4.404,-32.0048,2857517056,-2.82
SHSE.600340_201907,0,13.1141,2.2254,13721706496,1.81
SHSE.600340_201908,0,13.1141,2.2254,13721706496,1.81
SHSE.600340_201909,0,13.1141,2.2254,13721706496,1.81
SHSE.600340_201910,0,-11.136,31.7435,7657340928,0.4
SHSE.600340_201911,0,-11.136,31.7435,7657340928,0.4
SHSE.600340_201912,0,-11.136,31.7435,7657340928,0.4
SHSE.600340_202001,0,-11.136,31.7435,7657340928,0.4
SHSE.600340_202002,0,-11.136,31.7435,7657340928,0.4
SHSE.600340_202003,0,-11.136,31.7435,7657340928,0.4
SHSE.600346_201901,0,-6.2193,-7.9179,-8010286080,-0.08
SHSE.600346_201902,0,-6.2193,-7.9179,-8010286080,-0.08
SHSE.600346_201903,0,-6.2193,-7.9179,-8010286080,-0.08
SHSE.600346_201904,0,-6.8858,3.4325,1766138880,-0.58
SHSE.600346_201905,0,-6.8858,3.4325,1766138880,-0.58
SHSE.600346_201906,0,-6.8858,3.4325,1766138880,-0.58
SHSE.600346_201907,0,20.8459,30.095,-21031911424,0.47
SHSE.600346_201908,0,20.8459,30.095,-21031911424,0.47
SHSE.600346_201909,0,20.8459,30.095,-21031911424,0.47
SHSE.600346_201910,0,2.1857,14.1048,-1370570752,0.41
SHSE.600346_201911,0,2.1857,14.1048,-1370570752,0.41
SHSE.600346_201912,0,2.1857,14.1048,-1370570752,0.41
SHSE.600346_202001,0,2.1857,14.1048,-1370570752,0.41
SHSE.600346_202002,0,2.1857,14.1048,-1370570752,0.41
SHSE.600346_202003,0,2.1857,14.1048,-1370570752,0.41
SHSE.600297_201901,0,-2.7002,-3.979,-83408896,0.0102
